journey,podróż,wędrówka,przygoda,ścieżka
musician,muzyk,śpiewak,artysta,kompozytor
mountain,góra,wzgórze,dolina,pagórek
talent,talent,umiejętność,zdolność,wiedza
kitchen,kuchnia,jadalnia,salon,sypialnia
adventure,przygoda,ryzyko,wycieczka,odkrycie
stomach,żołądek,brzuch,serce,wątroba
agreement,umowa,zgoda,porozumienie,kontrakt
pressure,ciśnienie,nacisk,stres,napięcie
attention,uwaga,skupienie,zainteresowanie,troska
shoulder,ramię,łokieć,kolano,plecy
pollution,zanieczyszczenie,skażenie,brud,smog
strength,siła,moc,energia,potęga
celebration,świętowanie,uroczystość,impreza,obchody
industry,przemysł,firma,biznes,gospodarka
silence,cisza,spokój,milczenie,bezgłos
confidence,pewność siebie,zaufanie,wiara,odwaga
direction,kierunek,strona,droga,orientacja
illness,choroba,dolegliwość,infekcja,słabość
tradition,tradycja,zwyczaj,obyczaj,kultura
explanation,wyjaśnienie,tłumaczenie,opis,interpretacja
permission,pozwolenie,zgoda,akceptacja,przyzwolenie
appearance,wygląd,prezencja,postać,oblicze
opportunity,okazja,szansa,możliwość,sposobność
complaint,skarga,zażalenie,pretensja,narzekanie
difficulty,trudność,problem,kłopot,przeszkoda
excitement,podekscytowanie,podniecenie,emocje,zapał
passenger,pasażer,podróżny,kierowca,gość
importance,ważność,znaczenie,istotność,ranga
impression,wrażenie,odczucie,opinia,przekonanie
insurance,ubezpieczenie,polisa,ochrona,zabezpieczenie
solution,rozwiązanie,odpowiedź,wyjście,metoda
pleasure,przyjemność,radość,zadowolenie,satysfakcja
suggestion,sugestia,propozycja,rada,pomysł
equipment,sprzęt,wyposażenie,urządzenie,narzędzie
promotion,awans,promocja,podwyżka,kariera
candidate,kandydat,aplikant,pretendent,uczestnik
disaster,katastrofa,klęska,tragedia,nieszczęście
audience,publiczność,widownia,słuchacze,odbiorcy
furniture,meble,wyposażenie,dekoracje,sprzęty
decision,decyzja,postanowienie,wybór,rozstrzygnięcie
argument,kłótnia,sprzeczka,dyskusja,debata
management,zarządzanie,kierowanie,administracja,nadzór
restaurant,restauracja,kawiarnia,bar,stołówka
knowledge,wiedza,znajomość,umiejętność,erudycja
description,opis,charakterystyka,przedstawienie,relacja
medicine,lekarstwo,lek,medycyna,kuracja
education,edukacja,nauka,wykształcenie,oświata
collection,kolekcja,zbiór,zestaw,komplet
entrance,wejście,brama,drzwi,portal
stranger,obcy,nieznajomy,przybysz,cudzoziemiec
punishment,kara,sankcja,konsekwencja,pokuta
appointment,spotkanie,wizyta,umówienie,termin
interview,rozmowa,wywiad,przesłuchanie,spotkanie
difference,różnica,odmienność,kontrast,dysproporcja
expression,wyrażenie,ekspresja,wyraz,określenie
examination,egzamin,badanie,sprawdzian,kontrola
conclusion,wniosek,zakończenie,podsumowanie,konkluzja
invitation,zaproszenie,wezwanie,propozycja,oferta
discussion,dyskusja,rozmowa,debata,wymiana zdań
foundation,fundament,podstawa,baza,podwalina
apartment,mieszkanie,apartament,lokal,kwatera
situation,sytuacja,położenie,okoliczność,stan
reputation,reputacja,opinia,renoma,sława
reflection,odbicie,refleksja,zastanowienie,przemyślenie
friendship,przyjaźń,koleżeństwo,relacja,więź
temperature,temperatura,ciepło,gorąco,stopień
conversation,rozmowa,konwersacja,dialog,pogawędka
investment,inwestycja,lokata,wkład,nakład
protection,ochrona,zabezpieczenie,osłona,protekcja
production,produkcja,wytwarzanie,tworzenie,fabrykacja
competition,konkurs,zawody,rywalizacja,współzawodnictwo
department,dział,wydział,departament,sekcja
achievement,osiągnięcie,sukces,dokonanie,wyczyn
requirement,wymóg,wymaganie,warunek,żądanie
environment,środowisko,otoczenie,klimat,ekosystem
improvement,poprawa,ulepszenie,udoskonalenie,rozwój
measurement,pomiar,mierzenie,wymiar,rozmiar
possibility,możliwość,ewentualność,szansa,sposobność
imagination,wyobraźnia,fantazja,kreatywność,pomysłowość
preparation,przygotowanie,gotowość,opracowanie,planowanie
recommendation,rekomendacja,zalecenie,polecenie,rada
communication,komunikacja,łączność,porozumiewanie,przekaz
presentation,prezentacja,przedstawienie,pokaz,wystąpienie
participation,uczestnictwo,udział,obecność,zaangażowanie
responsibility,odpowiedzialność,obowiązek,powinność,zobowiązanie
representative,przedstawiciel,reprezentant,delegat,pełnomocnik
understanding,zrozumienie,pojmowanie,pojęcie,rozumienie
consideration,rozważenie,zastanowienie,namysł,przemyślenie
organization,organizacja,instytucja,stowarzyszenie,zrzeszenie
characteristic,cecha,charakterystyka,właściwość,przymiot
entertainment,rozrywka,zabawa,uciecha,atrakcja
disappointment,rozczarowanie,zawód,żal,przykrość
announcement,ogłoszenie,komunikat,obwieszczenie,zapowiedź
embarrassment,zażenowanie,zawstydzenie,skrępowanie,wstyd
concentration,koncentracja,skupienie,uwaga,skoncentrowanie
exchange,wymiana,zamiana,transakcja,zamiennik
adventure,przygoda,wyprawa,ekspedycja,eskapada
recognition,rozpoznanie,identyfikacja,uznanie,spostrzeżenie
